,Borough,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
97,West Toronto,Little Portugal / Trinity-Toronto,43.647926700000006,-79.4197497,Ufficio,43.649439390888254,-79.42301401069709,Italian Restaurant
98,West Toronto,Little Portugal / Trinity-Toronto,43.647926700000006,-79.4197497,Jimmy's Coffee,43.64452074032671,-79.4189080566799,Coffee Shop
99,West Toronto,Little Portugal / Trinity-Toronto,43.647926700000006,-79.4197497,Pilot Coffee Roasters,43.646609556865684,-79.41960592835666,Coffee Shop
100,West Toronto,Little Portugal / Trinity-Toronto,43.647926700000006,-79.4197497,The Tampered Press,43.65006186869144,-79.41728020642847,Coffee Shop
101,East Toronto,The Danforth West / Riverdale-Toronto,43.6795571,-79.352188,Cafe Fiorentina,43.677743,-79.350115,Italian Restaurant
102,East Toronto,The Danforth West / Riverdale-Toronto,43.6795571,-79.352188,7 Numbers,43.677061774959824,-79.35393428891682,Italian Restaurant
103,East Toronto,The Danforth West / Riverdale-Toronto,43.6795571,-79.352188,Pizzeria Libretto,43.678488633358,-79.34757579277853,Pizza Place
104,East Toronto,The Danforth West / Riverdale-Toronto,43.6795571,-79.352188,Marvel Coffee Co.,43.678629530863844,-79.34746013725268,Coffee Shop
105,East Toronto,The Danforth West / Riverdale-Toronto,43.6795571,-79.352188,Second Cup,43.677232,-79.3528982,Coffee Shop
106,East Toronto,The Danforth West / Riverdale-Toronto,43.6795571,-79.352188,Cafe Frappe,43.67812618087551,-79.34843379217203,Coffee Shop
107,East Toronto,The Danforth West / Riverdale-Toronto,43.6795571,-79.352188,IL FORNELLO on Danforth,43.67860392856738,-79.34690364849348,Italian Restaurant
108,East Toronto,The Danforth West / Riverdale-Toronto,43.6795571,-79.352188,Starbucks,43.678879,-79.346357,Coffee Shop
109,Downtown Toronto,Toronto Dominion Centre / Design Exchange-Toronto,43.6471768,-79.38157640000001,Pilot Coffee Roasters,43.648835391245896,-79.3809358125033,Coffee Shop
110,Downtown Toronto,Toronto Dominion Centre / Design Exchange-Toronto,43.6471768,-79.38157640000001,Starbucks,43.646731,-79.383951,Coffee Shop
111,Downtown Toronto,Toronto Dominion Centre / Design Exchange-Toronto,43.6471768,-79.38157640000001,Pilot Coffee Roasters,43.64501814464698,-79.3804150931199,Coffee Shop
112,Downtown Toronto,Toronto Dominion Centre / Design Exchange-Toronto,43.6471768,-79.38157640000001,Dineen @CommerceCourt,43.648250543365556,-79.38012728220869,Coffee Shop
113,Downtown Toronto,Toronto Dominion Centre / Design Exchange-Toronto,43.6471768,-79.38157640000001,Pizzeria Libretto,43.64833354686235,-79.38511050184168,Pizza Place
114,Downtown Toronto,Toronto Dominion Centre / Design Exchange-Toronto,43.6471768,-79.38157640000001,Starbucks,43.647261,-79.378599,Coffee Shop
115,Downtown Toronto,Toronto Dominion Centre / Design Exchange-Toronto,43.6471768,-79.38157640000001,Balzac's Coffee,43.644372584148364,-79.38306470027423,Coffee Shop
116,Downtown Toronto,Toronto Dominion Centre / Design Exchange-Toronto,43.6471768,-79.38157640000001,Starbucks,43.64902831957521,-79.38159290007317,Coffee Shop
117,Downtown Toronto,Toronto Dominion Centre / Design Exchange-Toronto,43.6471768,-79.38157640000001,Starbucks,43.646516,-79.380059,Coffee Shop
118,Downtown Toronto,Toronto Dominion Centre / Design Exchange-Toronto,43.6471768,-79.38157640000001,Starbucks,43.649328,-79.378339,Coffee Shop
119,Downtown Toronto,Toronto Dominion Centre / Design Exchange-Toronto,43.6471768,-79.38157640000001,Pi Co.,43.648651,-79.385874,Pizza Place
120,Downtown Toronto,Toronto Dominion Centre / Design Exchange-Toronto,43.6471768,-79.38157640000001,TOCA,43.64543117726125,-79.38705858895491,Italian Restaurant
121,Downtown Toronto,Toronto Dominion Centre / Design Exchange-Toronto,43.6471768,-79.38157640000001,Starbucks,43.644580752794965,-79.38167197782931,Coffee Shop
