Borough,F1,Neighborhood Latitude,Neighborhood Longitude,Neighborhood,Number of Records,Venue Category,Venue Latitude,Venue Longitude,Venue
Bronx,81,40.857277101,-73.888451961,"Belmont, Bronx",1,Italian Restaurant,40.857411896,-73.886468213,Michaelangelo's Coal Fired Brick Oven Pizza Restaurant
Bronx,82,40.857277101,-73.888451961,"Belmont, Bronx",1,Pizza Place,40.854713530,-73.888387515,Zero Otto Nove
Bronx,83,40.857277101,-73.888451961,"Belmont, Bronx",1,Italian Restaurant,40.854844,-73.887908,Arthur Avenue Fiasco
Bronx,84,40.857277101,-73.888451961,"Belmont, Bronx",1,Italian Restaurant,40.854145290,-73.888776062,Calabria Pork Store
Bronx,85,40.857277101,-73.888451961,"Belmont, Bronx",1,Pizza Place,40.858817757,-73.884807702,Pugsley Pizza
Bronx,86,40.857277101,-73.888451961,"Belmont, Bronx",1,Italian Restaurant,40.854082862,-73.886616450,Antonio's Trattoria
Bronx,87,40.857277101,-73.888451961,"Belmont, Bronx",1,Pizza Place,40.857071082,-73.885350488,Bellini's Pizza
Bronx,88,40.857277101,-73.888451961,"Belmont, Bronx",1,Italian Restaurant,40.854215065,-73.888765215,Dominick's Restaurant
Bronx,89,40.857277101,-73.888451961,"Belmont, Bronx",1,Italian Restaurant,40.854354554,-73.888643593,Enzo's
Bronx,90,40.857277101,-73.888451961,"Belmont, Bronx",1,Italian Restaurant,40.854176493,-73.888084557,Cafe al Mercato
Bronx,91,40.857277101,-73.888451961,"Belmont, Bronx",1,Italian Restaurant,40.854120105,-73.888909985,Emilia's Restaurant
Bronx,92,40.857277101,-73.888451961,"Belmont, Bronx",1,Italian Restaurant,40.853607,-73.88843,Roberto's
Bronx,93,40.857277101,-73.888451961,"Belmont, Bronx",1,Italian Restaurant,40.854243778,-73.888436675,Mario's Restaurant & Catering
Bronx,94,40.857277101,-73.888451961,"Belmont, Bronx",1,Italian Restaurant,40.855334187,-73.887807820,Gerbasi Ristorante
Bronx,95,40.857277101,-73.888451961,"Belmont, Bronx",1,Pizza Place,40.860748892,-73.889815406,Pizza Studio - Fordham
Bronx,96,40.857277101,-73.888451961,"Belmont, Bronx",1,Italian Restaurant,40.855139534,-73.886794430,Tra Di Noi
Bronx,97,40.857277101,-73.888451961,"Belmont, Bronx",1,Pizza Place,40.857431933,-73.886029143,Tony & Tina's Pizza
Bronx,98,40.857277101,-73.888451961,"Belmont, Bronx",1,Italian Restaurant,40.854031512,-73.888878323,David Greco's Arthur Avenue Trattoria
Bronx,99,40.857277101,-73.888451961,"Belmont, Bronx",1,Italian Restaurant,40.855704465,-73.887449184,Ann & Tony's - An Original Arthur Avenue Restaurant
Bronx,100,40.857277101,-73.888451961,"Belmont, Bronx",1,Italian Restaurant,40.854217,-73.8891,San Gennaro Ristorante
Bronx,101,40.857277101,-73.888451961,"Belmont, Bronx",1,Coffee Shop,40.86063643,-73.89027008,Starbucks
Bronx,102,40.857277101,-73.888451961,"Belmont, Bronx",1,Italian Restaurant,40.853744601,-73.889263867,Pasquale Riggaletto's
Bronx,103,40.857277101,-73.888451961,"Belmont, Bronx",1,Pizza Place,40.853633759,-73.889336728,Catania's Pizzeria & Cafe Inc.
Bronx,104,40.857277101,-73.888451961,"Belmont, Bronx",1,Coffee Shop,40.861106,-73.886148,Starbucks
Bronx,105,40.857277101,-73.888451961,"Belmont, Bronx",1,Pizza Place,40.858706805,-73.885857532,University Pizza & Restaurant
Bronx,106,40.857277101,-73.888451961,"Belmont, Bronx",1,Italian Restaurant,40.854068318,-73.888837589,Arthur Avenue Cafe
Bronx,107,40.857277101,-73.888451961,"Belmont, Bronx",1,Pizza Place,40.855,-73.890705,Bella Pizza
Bronx,108,40.908542830,-73.904530549,"North Riverdale, Bronx",1,Pizza Place,40.910155697,-73.903025750,Nona's Pizza
Bronx,109,40.908542830,-73.904530549,"North Riverdale, Bronx",1,Italian Restaurant,40.906483058,-73.903965305,Madison's
Bronx,110,40.908542830,-73.904530549,"North Riverdale, Bronx",1,Coffee Shop,40.907354508,-73.904160545,Noni's Coffee Shop
Bronx,111,40.908542830,-73.904530549,"North Riverdale, Bronx",1,Italian Restaurant,40.905466724,-73.900423370,Beccofino
Bronx,112,40.908542830,-73.904530549,"North Riverdale, Bronx",1,Pizza Place,40.905756866,-73.904241697,Addeo's Riverdale Pizzeria
Bronx,113,40.908542830,-73.904530549,"North Riverdale, Bronx",1,Pizza Place,40.905171029,-73.901471932,Dino's Pizzeria
Bronx,114,40.850641409,-73.832073782,"Pelham Bay, Bronx",1,Italian Restaurant,40.851785603,-73.829785991,Giovanni's Italian Restaurant
Bronx,115,40.850641409,-73.832073782,"Pelham Bay, Bronx",1,Italian Restaurant,40.847676,-73.831834,Lucca Italian Restaurant
Bronx,116,40.850641409,-73.832073782,"Pelham Bay, Bronx",1,Italian Restaurant,40.853225227,-73.827304766,Villa Barone Ristorante
Bronx,117,40.826579517,-73.826202760,"Schuylerville, Bronx",1,Pizza Place,40.828733,-73.823949,Cestra's Pizza
Bronx,118,40.826579517,-73.826202760,"Schuylerville, Bronx",1,Pizza Place,40.826870972,-73.822792768,Domino's Pizza
Bronx,119,40.826579517,-73.826202760,"Schuylerville, Bronx",1,Italian Restaurant,40.830603561,-73.827932506,Louis Seafood
Bronx,120,40.821986118,-73.813885144,"Edgewater Park, Bronx",1,Coffee Shop,40.819461727,-73.817351755,The Miles Coffee Bar
Bronx,121,40.821986118,-73.813885144,"Edgewater Park, Bronx",1,Italian Restaurant,40.823118889,-73.819402815,Patricia's of Tremont
Bronx,122,40.821986118,-73.813885144,"Edgewater Park, Bronx",1,Pizza Place,40.819572936,-73.817481740,Tommy's Pizzeria
Bronx,123,40.821986118,-73.813885144,"Edgewater Park, Bronx",1,Pizza Place,40.818721233,-73.817239421,Franks Pizza & Restaurant
Bronx,124,40.821986118,-73.813885144,"Edgewater Park, Bronx",1,Italian Restaurant,40.819222258,-73.817600665,Tosca Marquee
Bronx,125,40.821986118,-73.813885144,"Edgewater Park, Bronx",1,Italian Restaurant,40.820399468,-73.817702490,Spoto's Italian Restaurant
Bronx,126,40.821986118,-73.813885144,"Edgewater Park, Bronx",1,Italian Restaurant,40.821230910,-73.818743157,Rino's Italian Restaurant
Bronx,127,40.819014377,-73.848027296,"Castle Hill, Bronx",1,Pizza Place,40.822864272,-73.848909318,Franks Original Pizza Italia
Bronx,128,40.862965625,-73.841611948,"Pelham Gardens, Bronx",1,Italian Restaurant,40.863018979,-73.843607407,Fratelli's
Bronx,129,40.862965625,-73.841611948,"Pelham Gardens, Bronx",1,Pizza Place,40.862273,-73.843071,Villa Maria Restaurant
Bronx,130,40.834283807,-73.915589418,"Concourse, Bronx",1,Italian Restaurant,40.830929582,-73.916625827,Tiny's Pizza & Pasta
Bronx,131,40.834283807,-73.915589418,"Concourse, Bronx",1,Pizza Place,40.835872840,-73.920990720,Domino's Pizza
Bronx,132,40.834283807,-73.915589418,"Concourse, Bronx",1,Pizza Place,40.833902,-73.915116,PG Pizza
Bronx,133,40.829774298,-73.850535245,"Unionport, Bronx",1,Pizza Place,40.830068870,-73.850817641,Cross Bronx Pizzeria
Bronx,134,40.884561303,-73.848082719,"Edenwald, Bronx",1,Pizza Place,40.88474,-73.849268,Laconia Pizza
Brooklyn,135,40.625801065,-74.030620694,"Bay Ridge, Brooklyn",1,Pizza Place,40.6242,-74.030931,Leo's Casa Calamari
Brooklyn,136,40.625801065,-74.030620694,"Bay Ridge, Brooklyn",1,Coffee Shop,40.624945829,-74.030404391,Caffe Café
