,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
940,"Schuylerville, Bronx",40.82657951686922,-73.82620275994073,Cestra's Pizza,40.828733,-73.823949,Pizza Place
950,"Schuylerville, Bronx",40.82657951686922,-73.82620275994073,Domino's Pizza,40.82687097197242,-73.8227927684784,Pizza Place
951,"Schuylerville, Bronx",40.82657951686922,-73.82620275994073,Louis Seafood,40.83060356145349,-73.82793250584578,Italian Restaurant
953,"Edgewater Park, Bronx",40.821986118163494,-73.81388514428619,The Miles Coffee Bar,40.81946172710321,-73.81735175518574,Coffee Shop
957,"Edgewater Park, Bronx",40.821986118163494,-73.81388514428619,Patricia's of Tremont,40.823118889430276,-73.81940281496017,Italian Restaurant
958,"Edgewater Park, Bronx",40.821986118163494,-73.81388514428619,Tommy's Pizzeria,40.81957293563141,-73.81748174041417,Pizza Place
961,"Edgewater Park, Bronx",40.821986118163494,-73.81388514428619,Franks Pizza & Restaurant,40.818721232539104,-73.81723942127738,Pizza Place
962,"Edgewater Park, Bronx",40.821986118163494,-73.81388514428619,Tosca Marquee,40.81922225798978,-73.81760066505247,Italian Restaurant
963,"Edgewater Park, Bronx",40.821986118163494,-73.81388514428619,Spoto's Italian Restaurant,40.82039946759965,-73.8177024901674,Italian Restaurant
964,"Edgewater Park, Bronx",40.821986118163494,-73.81388514428619,Rino's Italian Restaurant,40.82123091031154,-73.81874315720901,Italian Restaurant
971,"Edgewater Park, Bronx",40.821986118163494,-73.81388514428619,Bridges,40.818697,-73.817371,Coffee Shop
974,"Castle Hill, Bronx",40.819014376988314,-73.84802729582735,Franks Original Pizza Italia,40.82286427195636,-73.84890931755929,Pizza Place
978,"Castle Hill, Bronx",40.819014376988314,-73.84802729582735,Pizza Italia,40.822888,-73.84862,Pizza Place
993,"Pelham Gardens, Bronx",40.86296562477998,-73.84161194831223,Fratelli's,40.86301897888721,-73.84360740712835,Italian Restaurant
1003,"Pelham Gardens, Bronx",40.86296562477998,-73.84161194831223,Villa Maria Restaurant,40.862272999999995,-73.843071,Pizza Place
1007,"Pelham Gardens, Bronx",40.86296562477998,-73.84161194831223,Carbo's Pizzeria,40.86249,-73.843079,Pizza Place
1020,"Concourse, Bronx",40.83428380733851,-73.91558941773444,Tiny's Pizza & Pasta,40.8309295822695,-73.91662582679406,Italian Restaurant
1027,"Concourse, Bronx",40.83428380733851,-73.91558941773444,Domino's Pizza,40.83587284041261,-73.92099072040764,Pizza Place
1031,"Concourse, Bronx",40.83428380733851,-73.91558941773444,PG Pizza,40.833902,-73.915116,Pizza Place
1032,"Concourse, Bronx",40.83428380733851,-73.91558941773444,Pizza,40.83383055195339,-73.91589203894232,Pizza Place
1045,"Unionport, Bronx",40.82977429787161,-73.85053524451935,Cross Bronx Pizzeria,40.83006887037155,-73.85081764105371,Pizza Place
1074,"Bay Ridge, Brooklyn",40.625801065010656,-74.03062069353813,Leo's Casa Calamari,40.6242,-74.030931,Pizza Place
1082,"Bay Ridge, Brooklyn",40.625801065010656,-74.03062069353813,Caffe Café,40.62494582940274,-74.03040439118276,Coffee Shop
1093,"Bay Ridge, Brooklyn",40.625801065010656,-74.03062069353813,Tuscany Grill,40.62291326029698,-74.03138652017468,Italian Restaurant
1094,"Bay Ridge, Brooklyn",40.625801065010656,-74.03062069353813,Peppino's,40.6298508137169,-74.02848135082027,Pizza Place
1096,"Bay Ridge, Brooklyn",40.625801065010656,-74.03062069353813,Nonno's Pizza,40.62164967557811,-74.03185368050534,Pizza Place
1103,"Bay Ridge, Brooklyn",40.625801065010656,-74.03062069353813,Sofia Restorante Italiano,40.62484745920055,-74.03052232818622,Italian Restaurant
1106,"Bay Ridge, Brooklyn",40.625801065010656,-74.03062069353813,Zio Toto,40.62479085034183,-74.03055087900958,Italian Restaurant
1120,"Bay Ridge, Brooklyn",40.625801065010656,-74.03062069353813,Giacomo's Wood Fired Pizza & Trattoria,40.62853486510589,-74.02905124266296,Italian Restaurant
1142,"Bay Ridge, Brooklyn",40.625801065010656,-74.03062069353813,Ben's Pizzeria,40.62640416738638,-74.02975174836288,Pizza Place
1143,"Bay Ridge, Brooklyn",40.625801065010656,-74.03062069353813,Zitelli's Thin Crust Pizza and Bar,40.62355539009036,-74.03096914529038,Italian Restaurant
1145,"Bay Ridge, Brooklyn",40.625801065010656,-74.03062069353813,Baci,40.624347,-74.030761,Italian Restaurant
1150,"Bensonhurst, Brooklyn",40.61100890202044,-73.99517998380729,Villa Fiorita,40.611931,-73.997854,Italian Restaurant
1151,"Bensonhurst, Brooklyn",40.61100890202044,-73.99517998380729,il Colosseo,40.61222053559676,-73.9974361996248,Italian Restaurant
1178,"Bensonhurst, Brooklyn",40.61100890202044,-73.99517998380729,Caffe Romeo,40.60973171462955,-73.98976639889126,Coffee Shop
1185,"Sunset Park, Brooklyn",40.64510294925429,-74.01031618527784,Royal Kings Pizza,40.64369981623152,-74.01174040252202,Pizza Place
1187,"Sunset Park, Brooklyn",40.64510294925429,-74.01031618527784,Luigi's Pizza,40.64677589775821,-74.00870886603244,Pizza Place
1193,"Sunset Park, Brooklyn",40.64510294925429,-74.01031618527784,Charles's Pizzeria,40.645623,-74.010191,Pizza Place
1196,"Sunset Park, Brooklyn",40.64510294925429,-74.01031618527784,Cafe Lore,40.648474,-74.01008900000001,Italian Restaurant
1229,"Greenpoint, Brooklyn",40.7302009848647,-73.95424093127393,Fornino,40.72895139078759,-73.95386181678641,Pizza Place
1239,"Greenpoint, Brooklyn",40.7302009848647,-73.95424093127393,Homecoming,40.72969603048622,-73.95752484054493,Coffee Shop
1246,"Greenpoint, Brooklyn",40.7302009848647,-73.95424093127393,Adelina's,40.730301301138475,-73.95335193287592,Italian Restaurant
1250,"Greenpoint, Brooklyn",40.7302009848647,-73.95424093127393,Paulie Gee's Slice Shop,40.728444159891396,-73.95734068765103,Pizza Place
1251,"Greenpoint, Brooklyn",40.7302009848647,-73.95424093127393,Maman,40.730427,-73.958035,Coffee Shop
1256,"Greenpoint, Brooklyn",40.7302009848647,-73.95424093127393,odd fox,40.73267268846633,-73.95454999352046,Coffee Shop
1258,"Greenpoint, Brooklyn",40.7302009848647,-73.95424093127393,Paulie Gee’s,40.729801246987186,-73.95852046352437,Pizza Place
1259,"Greenpoint, Brooklyn",40.7302009848647,-73.95424093127393,Upright Coffee,40.72933199515132,-73.9538915154595,Coffee Shop
1272,"Greenpoint, Brooklyn",40.7302009848647,-73.95424093127393,Café de Colombia,40.730526,-73.951822,Coffee Shop
1277,"Greenpoint, Brooklyn",40.7302009848647,-73.95424093127393,Italy Pizza,40.727711857496196,-73.95305085278082,Pizza Place
1284,"Greenpoint, Brooklyn",40.7302009848647,-73.95424093127393,Naked Dog,40.7312918882724,-73.95947690314539,Italian Restaurant
1294,"Greenpoint, Brooklyn",40.7302009848647,-73.95424093127393,Sweetleaf,40.734431143292184,-73.95542611092719,Coffee Shop
1301,"Greenpoint, Brooklyn",40.7302009848647,-73.95424093127393,Russ Pizza,40.72645867309902,-73.95235989468806,Pizza Place
1312,"Greenpoint, Brooklyn",40.7302009848647,-73.95424093127393,Triangolo Pizzeria,40.7336509812184,-73.95482948305418,Pizza Place
1316,"Greenpoint, Brooklyn",40.7302009848647,-73.95424093127393,Casanova Family Italian Restaurant & Pizzeria,40.7340567527229,-73.95208213969691,Pizza Place
1318,"Gravesend, Brooklyn",40.59526001306593,-73.97347087708445,Joe's of Avenue U,40.596970812269824,-73.9736772701698,Italian Restaurant
1320,"Gravesend, Brooklyn",40.59526001306593,-73.97347087708445,Ciccio's,40.59667201492687,-73.97634043335019,Pizza Place
1326,"Gravesend, Brooklyn",40.59526001306593,-73.97347087708445,Papa John's Pizza,40.596748555126595,-73.97705042270184,Pizza Place
1333,"Gravesend, Brooklyn",40.59526001306593,-73.97347087708445,Giovanni Italian Restaurant,40.59648,-73.976948,Italian Restaurant
1342,"Gravesend, Brooklyn",40.59526001306593,-73.97347087708445,Cafe On The Hill,40.596588,-73.978751,Italian Restaurant
1343,"Gravesend, Brooklyn",40.59526001306593,-73.97347087708445,Kennedy Fried Chicken & Pizza,40.592560999999996,-73.977968,Pizza Place
1373,"Brighton Beach, Brooklyn",40.57682506566604,-73.96509448785336,Starbucks,40.57784143,-73.96120404,Coffee Shop
1399,"Sheepshead Bay, Brooklyn",40.58689012678384,-73.94318640482979,Il Fornetto,40.58337792928743,-73.93948662464095,Italian Restaurant
1402,"Sheepshead Bay, Brooklyn",40.58689012678384,-73.94318640482979,Connie's Pizzeria,40.59017383063587,-73.93951688663121,Pizza Place
1413,"Manhattan Terrace, Brooklyn",40.61443251335098,-73.95743840559939,Benny's Brick Oven Pizza,40.61826558245511,-73.95712545664973,Pizza Place
1418,"Manhattan Terrace, Brooklyn",40.61443251335098,-73.95743840559939,Posh Kosher Pizza,40.618352088945095,-73.95805451436021,Pizza Place
1426,"Manhattan Terrace, Brooklyn",40.61443251335098,-73.95743840559939,Jerusalem II Pizza,40.61794290485054,-73.96008538058996,Pizza Place
1429,"Manhattan Terrace, Brooklyn",40.61443251335098,-73.95743840559939,Chock Full O' Nuts,40.618160387686835,-73.95874565376455,Coffee Shop
1438,"Flatbush, Brooklyn",40.63632589026677,-73.95840106533903,Coffee Mob,40.635841273905065,-73.96256072887337,Coffee Shop
1440,"Flatbush, Brooklyn",40.63632589026677,-73.95840106533903,LoDuca Pizza,40.63492093049167,-73.96266286813962,Pizza Place
1446,"Flatbush, Brooklyn",40.63632589026677,-73.95840106533903,Coffee Z,40.634682472077664,-73.96278208484142,Coffee Shop
1457,"Crown Heights, Brooklyn",40.67082917695294,-73.94329119073582,Basil Pizza & Wine Bar,40.670357911640814,-73.94216189419706,Pizza Place
1459,"Crown Heights, Brooklyn",40.67082917695294,-73.94329119073582,Calabria,40.67042,-73.94223,Pizza Place
1466,"Crown Heights, Brooklyn",40.67082917695294,-73.94329119073582,Jenny Coffe Shop #2,40.67209565087505,-73.94189529858284,Coffee Shop
1468,"Crown Heights, Brooklyn",40.67082917695294,-73.94329119073582,Kingston Pizza,40.670882333591784,-73.94204835429447,Pizza Place
1499,"Kensington, Brooklyn",40.642381958003526,-73.98042110559474,Beverly Pizzeria & Cafe,40.642538,-73.97833299999999,Pizza Place
1509,"Kensington, Brooklyn",40.642381958003526,-73.98042110559474,Korner Pizza,40.64351847921882,-73.97757264349397,Pizza Place
1516,"Kensington, Brooklyn",40.642381958003526,-73.98042110559474,Angelica's Coffee Shop,40.64426472017663,-73.9757434356533,Coffee Shop
1541,"Windsor Terrace, Brooklyn",40.65694583575104,-73.98007340430172,Giovanni's Brooklyn Eats,40.660159372085104,-73.9837526794552,Italian Restaurant
1543,"Windsor Terrace, Brooklyn",40.65694583575104,-73.98007340430172,DUB Pies - Windsor Terrace,40.66043997892629,-73.98028259046083,Coffee Shop
1563,"Prospect Heights, Brooklyn",40.676822262254724,-73.9648592426269,Sit & Wonder,40.67735699650139,-73.96386086940765,Coffee Shop
1572,"Prospect Heights, Brooklyn",40.676822262254724,-73.9648592426269,Ogliastro Pizza Bar,40.67442512423628,-73.96314365870649,Pizza Place
1592,"Prospect Heights, Brooklyn",40.676822262254724,-73.9648592426269,Amorina Cucina Rustica,40.677555876640874,-73.9689864777241,Pizza Place
1602,"Prospect Heights, Brooklyn",40.676822262254724,-73.9648592426269,Gran Caffe De Martini,40.67910336932808,-73.96832032665563,Coffee Shop
1627,"Prospect Heights, Brooklyn",40.676822262254724,-73.9648592426269,Cataldo's,40.68007786642605,-73.9680669171865,Italian Restaurant
1642,"Brownsville, Brooklyn",40.66394994339755,-73.91023536176607,Napoli Pizza,40.66308553779411,-73.90882625783786,Pizza Place
1672,"Williamsburg, Brooklyn",40.70714439344251,-73.95811529220927,Konditori,40.708614,-73.957906,Coffee Shop
1673,"Williamsburg, Brooklyn",40.70714439344251,-73.95811529220927,The Flat's BK Speed Coffee,40.70730384358056,-73.95386713180666,Coffee Shop
