,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
3899,"Upper East Side, Manhattan",40.775638573301805,-73.96050763135,Joe the Art of Coffee,40.7720441944042,-73.96080496387015,Coffee Shop
3916,"Upper East Side, Manhattan",40.775638573301805,-73.96050763135,Flora Coffee,40.773415608649984,-73.96396335420376,Coffee Shop
3920,"Upper East Side, Manhattan",40.775638573301805,-73.96050763135,Starbucks Reserve,40.77984961470853,-73.95958442027471,Coffee Shop
3925,"Upper East Side, Manhattan",40.775638573301805,-73.96050763135,787 Coffee,40.774461,-73.955438,Coffee Shop
3928,"Upper East Side, Manhattan",40.775638573301805,-73.96050763135,Nespresso,40.77317939578769,-73.96440565021449,Coffee Shop
3938,"Upper East Side, Manhattan",40.775638573301805,-73.96050763135,Irving Farm Coffee Roasters,40.77543837923943,-73.95661894047544,Coffee Shop
3949,"Yorkville, Manhattan",40.775929849884875,-73.94711784471826,Stella & Fly,40.77846380035534,-73.94828205986073,Coffee Shop
3963,"Yorkville, Manhattan",40.775929849884875,-73.94711784471826,Yorkafe,40.77385309632133,-73.94825970204658,Coffee Shop
3988,"Yorkville, Manhattan",40.775929849884875,-73.94711784471826,Cafe Jax,40.7761234,-73.951838,Coffee Shop
3999,"Yorkville, Manhattan",40.775929849884875,-73.94711784471826,Mellow Yellow - coffee & vibes,40.77920486239496,-73.94770099915985,Coffee Shop
4037,"Yorkville, Manhattan",40.775929849884875,-73.94711784471826,Oren's Daily Roast,40.77426112970503,-73.95139412608984,Coffee Shop
4039,"Yorkville, Manhattan",40.775929849884875,-73.94711784471826,Starbucks,40.772356,-73.949984,Coffee Shop
4087,"Lenox Hill, Manhattan",40.76811265828733,-73.9588596881376,Oren's Daily Roast,40.769755718510254,-73.96266688394745,Coffee Shop
4101,"Lenox Hill, Manhattan",40.76811265828733,-73.9588596881376,The Coffee Inn,40.766767,-73.956515,Coffee Shop
4104,"Lenox Hill, Manhattan",40.76811265828733,-73.9588596881376,Gotham Coffee House,40.766417653227954,-73.96021931346488,Coffee Shop
4111,"Lenox Hill, Manhattan",40.76811265828733,-73.9588596881376,Oslo Coffee Roasters,40.769363626993965,-73.95359768642824,Coffee Shop
4115,"Lenox Hill, Manhattan",40.76811265828733,-73.9588596881376,Gregorys Coffee,40.76565,-73.95779,Coffee Shop
4135,"Lenox Hill, Manhattan",40.76811265828733,-73.9588596881376,Joe the Art of Coffee,40.7720441944042,-73.96080496387015,Coffee Shop
4150,"Roosevelt Island, Manhattan",40.76215960576283,-73.94916769227953,Starbucks,40.76498,-73.953124,Coffee Shop
4152,"Roosevelt Island, Manhattan",40.76215960576283,-73.94916769227953,Starbucks,40.75935954636262,-73.95315311551424,Coffee Shop
4207,"Upper West Side, Manhattan",40.787657998534854,-73.97705923630603,Joe Coffee Company,40.78576794628144,-73.97297822944773,Coffee Shop
4231,"Upper West Side, Manhattan",40.787657998534854,-73.97705923630603,Irving Farm Coffee Roasters,40.78358219999489,-73.97936938995414,Coffee Shop
4234,"Upper West Side, Manhattan",40.787657998534854,-73.97705923630603,Matto Espresso,40.786328000000005,-73.97254699999999,Coffee Shop
4338,"Lincoln Square, Manhattan",40.77352888942166,-73.98533777001262,Joe: The Art of Coffee,40.7749910102078,-73.9802755128801,Coffee Shop
4363,"Lincoln Square, Manhattan",40.77352888942166,-73.98533777001262,Starbucks,40.77139241,-73.9824237,Coffee Shop
4403,"Clinton, Manhattan",40.75910089146212,-73.99611936309479,Oslo Coffee Roasters,40.760512,-73.998985,Coffee Shop
4442,"Clinton, Manhattan",40.75910089146212,-73.99611936309479,Romeo and Juliet Coffee,40.760726,-73.997724,Coffee Shop
4447,"Clinton, Manhattan",40.75910089146212,-73.99611936309479,Bird & Branch,40.76023380705023,-73.99092742659005,Coffee Shop
4464,"Clinton, Manhattan",40.75910089146212,-73.99611936309479,Empire Coffee & Tea,40.75801695174228,-73.99289785463402,Coffee Shop
4486,"Midtown, Manhattan",40.75469110270623,-73.98166882730304,Bluestone Lane,40.75546978066122,-73.98317793248884,Coffee Shop
4505,"Midtown, Manhattan",40.75469110270623,-73.98166882730304,Blue Bottle Coffee,40.753027,-73.98414,Coffee Shop
4533,"Midtown, Manhattan",40.75469110270623,-73.98166882730304,Joe Coffee Company,40.75346110080176,-73.98430720572264,Coffee Shop
4541,"Midtown, Manhattan",40.75469110270623,-73.98166882730304,La Colombe Torrefaction,40.753602694226444,-73.98550361394882,Coffee Shop
4573,"Murray Hill, Manhattan",40.748303077252174,-73.97833207924127,Perk Kafe,40.747768,-73.977363,Coffee Shop
4597,"Murray Hill, Manhattan",40.748303077252174,-73.97833207924127,Lucid Cafe,40.748754,-73.977916,Coffee Shop
4625,"Murray Hill, Manhattan",40.748303077252174,-73.97833207924127,Matto Espresso,40.750501526676786,-73.97772575896524,Coffee Shop
4628,"Murray Hill, Manhattan",40.748303077252174,-73.97833207924127,Taylor St. Baristas,40.75141927853027,-73.97976770103656,Coffee Shop
