,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
2630,"Clinton Hill, Brooklyn",40.693229421881504,-73.96784306216367,Liberty Pizza,40.69357223528769,-73.9659902249832,Pizza Place
2691,"Downtown, Brooklyn",40.69084402109802,-73.98346337431099,Forcella,40.69114132218762,-73.98282473390336,Pizza Place
2714,"Downtown, Brooklyn",40.69084402109802,-73.98346337431099,Forno Rosso,40.694436982491325,-73.98344175061186,Pizza Place
2732,"Downtown, Brooklyn",40.69084402109802,-73.98346337431099,2 Bros. Pizza,40.68939371833308,-73.98112529498947,Pizza Place
2743,"Downtown, Brooklyn",40.69084402109802,-73.98346337431099,Norm’s Pizza,40.692766,-73.988456,Pizza Place
2829,"Boerum Hill, Brooklyn",40.685682912091444,-73.98374824115798,2 Bros. Pizza,40.68939371833308,-73.98112529498947,Pizza Place
2851,"Prospect Lefferts Gardens, Brooklyn",40.658420017469815,-73.95489867077713,STREETSWEEPER,40.657185999999996,-73.95342600000001,Pizza Place
2867,"Prospect Lefferts Gardens, Brooklyn",40.658420017469815,-73.95489867077713,Mike's Pizza,40.65530786402606,-73.95643906169329,Pizza Place
2873,"Prospect Lefferts Gardens, Brooklyn",40.658420017469815,-73.95489867077713,Papa John's Pizza,40.65706260104479,-73.95291108629641,Pizza Place
2899,"Ocean Hill, Brooklyn",40.678402554795355,-73.91306831787395,Kentucky Fried Chicken & Pizza,40.676605,-73.911119,Pizza Place
2925,"City Line, Brooklyn",40.67856995727479,-73.86797598081334,City Line Pizza & Pasta,40.677612949266646,-73.86419754558611,Pizza Place
2953,"Midwood, Brooklyn",40.62559589869843,-73.95759523489838,Di Fara Pizza,40.625134711225336,-73.96147853933067,Pizza Place
2955,"Midwood, Brooklyn",40.62559589869843,-73.95759523489838,Benny's,40.62510660783823,-73.96165841617525,Pizza Place
2959,"Midwood, Brooklyn",40.62559589869843,-73.95759523489838,Pizza Time,40.62505248036124,-73.96234178915628,Pizza Place
2961,"Midwood, Brooklyn",40.62559589869843,-73.95759523489838,Jerusalem II Pizza,40.62491260375377,-73.96280733285991,Pizza Place
2968,"Prospect Park South, Brooklyn",40.647008603185185,-73.96261316716048,Brooklyn Pizza II,40.649494677559176,-73.96293343932949,Pizza Place
2997,"Prospect Park South, Brooklyn",40.647008603185185,-73.96261316716048,Angelo's Pizza,40.64406822276088,-73.95820156423142,Pizza Place
3000,"Prospect Park South, Brooklyn",40.647008603185185,-73.96261316716048,Brooklyn Pizzeria,40.650046797418,-73.960690498352,Pizza Place
3014,"Georgetown, Brooklyn",40.62384524478419,-73.91607483951324,Original Pizza,40.620783494175456,-73.91728732300375,Pizza Place
3138,"North Side, Brooklyn",40.714822906532014,-73.95880857587582,Joe's Pizza,40.71687115423772,-73.95893633365631,Pizza Place
3172,"North Side, Brooklyn",40.714822906532014,-73.95880857587582,Rosa’s Pizza,40.71410035773901,-73.95557714586712,Pizza Place
3183,"North Side, Brooklyn",40.714822906532014,-73.95880857587582,Leo,40.712529,-73.9567,Pizza Place
3191,"North Side, Brooklyn",40.714822906532014,-73.95880857587582,L'Industrie Pizzeria,40.7116752206617,-73.95769662100513,Pizza Place
3203,"North Side, Brooklyn",40.714822906532014,-73.95880857587582,Baci & Abbracci,40.71413859008115,-73.96033673639758,Pizza Place
3212,"North Side, Brooklyn",40.714822906532014,-73.95880857587582,Emmy Squared,40.712166,-73.955705,Pizza Place
3214,"South Side, Brooklyn",40.71086147265064,-73.95800095153331,L'Industrie Pizzeria,40.7116752206617,-73.95769662100513,Pizza Place
3219,"South Side, Brooklyn",40.71086147265064,-73.95800095153331,Emmy Squared,40.712166,-73.955705,Pizza Place
3225,"South Side, Brooklyn",40.71086147265064,-73.95800095153331,Leo,40.712529,-73.9567,Pizza Place
3291,"South Side, Brooklyn",40.71086147265064,-73.95800095153331,Zeff's Pizzeria,40.709736582526126,-73.95479293399809,Pizza Place
3292,"South Side, Brooklyn",40.71086147265064,-73.95800095153331,Rosa’s Pizza,40.71410035773901,-73.95557714586712,Pizza Place
3301,"South Side, Brooklyn",40.71086147265064,-73.95800095153331,Roebling Pizza,40.708808307240645,-73.96090117049755,Pizza Place
3332,"Ocean Parkway, Brooklyn",40.61305976667942,-73.96836678035541,Pizza Boss,40.616811,-73.971095,Pizza Place
3337,"Fort Hamilton, Brooklyn",40.61476812694226,-74.03197914537984,Espresso Pizza,40.61639003656646,-74.03070991895045,Pizza Place
3377,"Fort Hamilton, Brooklyn",40.61476812694226,-74.03197914537984,Landys Pizzeria,40.617394,-74.027464,Pizza Place
3403,"Fort Hamilton, Brooklyn",40.61476812694226,-74.03197914537984,Landy's Pizza,40.617394,-74.027464,Pizza Place
3410,"Chinatown, Manhattan",40.71561842231432,-73.99427936255978,Scarr's Pizza,40.715335008813696,-73.99164900167455,Pizza Place
3528,"Washington Heights, Manhattan",40.85190252555305,-73.93690027985234,Fresco's Pizzeria,40.85520157236451,-73.93721648678681,Pizza Place
3589,"Washington Heights, Manhattan",40.85190252555305,-73.93690027985234,Rap Pizza,40.8495914738399,-73.93360264402614,Pizza Place
3624,"Inwood, Manhattan",40.86768396449915,-73.92121042203897,Grandpa's Brick Oven Pizza,40.86821549098444,-73.9194188234502,Pizza Place
3639,"Inwood, Manhattan",40.86768396449915,-73.92121042203897,Domino's Pizza,40.8663161,-73.9256244,Pizza Place
3641,"Inwood, Manhattan",40.86768396449915,-73.92121042203897,Little Caesars Pizza,40.86350186913787,-73.92000265062941,Pizza Place
3658,"Hamilton Heights, Manhattan",40.823604284811935,-73.94968791883366,Uncle Tony's Pizza,40.82144,-73.950766,Pizza Place
3678,"Hamilton Heights, Manhattan",40.823604284811935,-73.94968791883366,Olga's Pizza,40.822379286792355,-73.95349050970361,Pizza Place
3698,"Hamilton Heights, Manhattan",40.823604284811935,-73.94968791883366,Papa John's Pizza,40.82487430556074,-73.94763462303837,Pizza Place
